year_bin=2006-2010,genre=Casino,appId=1
year_bin=2021-2025,genre=Productivity,appId=3396
year_bin=2011-2015,genre=Maps & Navigation,appId=323
year_bin=2011-2015,genre=Shopping,appId=68
year_bin=2011-2015,genre=Sports,appId=963
year_bin=2016-2020,genre=Video Players & Editors,appId=582
year_bin=2021-2025,genre=Racing,appId=1435
year_bin=2021-2025,genre=Personalization,appId=2034
year_bin=2021-2025,genre=Social,appId=2982
year_bin=2011-2015,genre=Business,appId=419
year_bin=2011-2015,genre=Finance,appId=326
year_bin=2011-2015,genre=Health & Fitness,appId=165
year_bin=2016-2020,genre=Lifestyle,appId=2805
year_bin=2016-2020,genre=Strategy,appId=2068
year_bin=2016-2020,genre=News & Magazines,appId=2317
year_bin=2011-2015,genre=Communication,appId=372
year_bin=2021-2025,genre=News & Magazines,appId=856
year_bin=2011-2015,genre=News & Magazines,appId=2092
year_bin=2021-2025,genre=Adventure,appId=3280
year_bin=2011-2015,genre=Books & Reference,appId=1132
year_bin=2021-2025,genre=Business,appId=1806
year_bin=2021-2025,genre=Weather,appId=890
year_bin=2011-2015,genre=Action,appId=416
year_bin=2016-2020,genre=Casino,appId=1240
year_bin=2011-2015,genre=Trivia,appId=162
year_bin=2021-2025,genre=Travel & Local,appId=1159
year_bin=2011-2015,genre=Personalization,appId=381
year_bin=2011-2015,genre=Strategy,appId=314
year_bin=2016-2020,genre=Arcade,appId=5297
year_bin=2021-2025,genre=Auto & Vehicles,appId=423
year_bin=2016-2020,genre=Card,appId=1414
year_bin=2011-2015,genre=Dating,appId=66
year_bin=2016-2020,genre=Medical,appId=907
year_bin=2011-2015,genre=Beauty,appId=10
year_bin=2006-2010,genre=Finance,appId=1
year_bin=2006-2010,genre=Health & Fitness,appId=1
year_bin=2006-2010,genre=Tools,appId=1
year_bin=2006-2010,genre=Sports,appId=1
year_bin=2006-2010,genre=Communication,appId=1
year_bin=2006-2010,genre=Casual,appId=1
